,Bacteria,Drug,Drug_dose (μg/disk),ZOI_drug,kingdom,phylum,class,order,family,genus,species,gram,"min_Incub_period, h","avg_Incub_period, h","max_Incub_period, h","growth_temp, C",biosafety_level,isolated_from,Drug_class,MolWt
984,Klebsiella aerogenes,Trimethoprim,30,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella/Raoultella group,Klebsiella,n,12,18,24,37,2,respiratory tract,phenol ethers,290.323
985,Pseudomonas aeruginosa,Amikacin,30,27,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,585.608
986,Pseudomonas aeruginosa,Gentamicin,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Aminoglycoside ,477.603
987,Pseudomonas aeruginosa,Kanamycin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,484.503
988,Pseudomonas aeruginosa,Amoxicillin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,365.411
989,Pseudomonas aeruginosa,Ampicillin,30,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organoheterocyclic compounds,349.412
990,Pseudomonas aeruginosa,Penicillin,30,7,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,372.487
991,Pseudomonas aeruginosa,Ceftazidime,30,31,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587
992,Pseudomonas aeruginosa,Ceftriaxone,30,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,554.592
993,Pseudomonas aeruginosa,Vancomycin,30,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,carboxylic acids,1449.271
994,Pseudomonas aeruginosa,Ciprofloxacin,30,35,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Quinolines,331.347
995,Pseudomonas aeruginosa,Doxycycline,30,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,462.455
996,Pseudomonas aeruginosa,Tetracycline,30,18,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,444.44
997,Pseudomonas aeruginosa,Chloramphenicol,30,16,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Benzene derivatives,323.132
998,Pseudomonas aeruginosa,Trimethoprim,30,9,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,phenol ethers,290.323
999,Shigella sonnei,Amikacin,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organooxygen compounds,585.608
1000,Shigella sonnei,Gentamicin,30,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Aminoglycoside ,477.603
1001,Shigella sonnei,Kanamycin,30,22,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organooxygen compounds,484.503
1002,Shigella sonnei,Amoxicillin,30,8,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,365.411
1003,Shigella sonnei,Ampicillin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Organoheterocyclic compounds,349.412
1004,Shigella sonnei,Penicillin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Carboxylic acids and derivatives,372.487
1005,Shigella sonnei,Ceftazidime,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,546.587
1006,Shigella sonnei,Ceftriaxone,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Lactams,554.592
1007,Shigella sonnei,Vancomycin,30,10,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,carboxylic acids,1449.271
1008,Shigella sonnei,Ciprofloxacin,30,35,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Quinolines,331.347
1009,Shigella sonnei,Doxycycline,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Tetracyclines,462.455
1010,Shigella sonnei,Tetracycline,30,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Tetracyclines,444.44
1011,Shigella sonnei,Chloramphenicol,30,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,Benzene derivatives,323.132
1012,Shigella sonnei,Trimethoprim,30,30,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,n,12,54,96,37,2,water,phenol ethers,290.323
1013,Salmonella typhimurium,Amikacin,30,17,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,585.608
1014,Salmonella typhimurium,Gentamicin,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Aminoglycoside ,477.603
1015,Salmonella typhimurium,Kanamycin,30,20,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organooxygen compounds,484.503
1016,Salmonella typhimurium,Amoxicillin,30,23,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,365.411
1017,Salmonella typhimurium,Ampicillin,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Organoheterocyclic compounds,349.412
1018,Salmonella typhimurium,Penicillin,30,25,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Carboxylic acids and derivatives,372.487
1019,Salmonella typhimurium,Ceftazidime,30,33,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,546.587
1020,Salmonella typhimurium,Ceftriaxone,30,32,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Lactams,554.592
1021,Salmonella typhimurium,Vancomycin,30,12,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,carboxylic acids,1449.271
1022,Salmonella typhimurium,Ciprofloxacin,30,26,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Quinolines,331.347
1023,Salmonella typhimurium,Doxycycline,30,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Tetracyclines,462.455
1024,Salmonella typhimurium,Tetracycline,30,24,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Tetracyclines,444.44
1025,Salmonella typhimurium,Chloramphenicol,30,28,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,Benzene derivatives,323.132
1026,Salmonella typhimurium,Trimethoprim,30,21,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,n,6,39,72,37,2,meat,phenol ethers,290.323
1027,Staphylococcus aureus,Amikacin,30,21,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,585.608
1028,Staphylococcus aureus,Gentamicin,30,20,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Aminoglycoside ,477.603
1029,Staphylococcus aureus,Kanamycin,30,20,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organooxygen compounds,484.503
1030,Staphylococcus aureus,Amoxicillin,30,6,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,365.411
1031,Staphylococcus aureus,Ampicillin,30,13,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Organoheterocyclic compounds,349.412
1032,Staphylococcus aureus,Penicillin,30,6,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Carboxylic acids and derivatives,372.487
1033,Staphylococcus aureus,Ceftazidime,30,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,546.587
1034,Staphylococcus aureus,Ceftriaxone,30,25,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,554.592
1035,Staphylococcus aureus,Vancomycin,30,8,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,carboxylic acids,1449.271
1036,Staphylococcus aureus,Ciprofloxacin,30,28,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Quinolines,331.347
1037,Staphylococcus aureus,Doxycycline,30,19,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,462.455
1038,Staphylococcus aureus,Tetracycline,30,23,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Tetracyclines,444.44
1039,Staphylococcus aureus,Chloramphenicol,30,6,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Benzene derivatives,323.132
1040,Staphylococcus aureus,Trimethoprim,30,26,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,phenol ethers,290.323
1041,Streptococcus mutans,Amikacin,30,26,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organooxygen compounds,585.608
1042,Streptococcus mutans,Gentamicin,30,25,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Aminoglycoside ,477.603
1043,Streptococcus mutans,Kanamycin,30,18,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organooxygen compounds,484.503
1044,Streptococcus mutans,Amoxicillin,30,12,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,365.411
1045,Streptococcus mutans,Ampicillin,30,13,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Organoheterocyclic compounds,349.412
1046,Streptococcus mutans,Penicillin,30,12,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Carboxylic acids and derivatives,372.487
1047,Streptococcus mutans,Ceftazidime,30,13,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,546.587
1048,Streptococcus mutans,Ceftriaxone,30,14,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Lactams,554.592
1049,Streptococcus mutans,Vancomycin,30,16,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,carboxylic acids,1449.271
1050,Streptococcus mutans,Ciprofloxacin,30,27,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Quinolines,331.347
1051,Streptococcus mutans,Doxycycline,30,29,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Tetracyclines,462.455
1052,Streptococcus mutans,Tetracycline,30,21,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Tetracyclines,444.44
1053,Streptococcus mutans,Chloramphenicol,30,22,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,Benzene derivatives,323.132
1054,Streptococcus mutans,Trimethoprim,30,6,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus mutans,p,24,36,48,37,2,carious dentine,phenol ethers,290.323
1529,Candida albicans,Vancomycin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,carboxylic acids,1449.271
1530,Escherichia coli,Vancomycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,carboxylic acids,1449.271
1531,Pseudomonas aeruginosa,Vancomycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,carboxylic acids,1449.271
1532,Candida albicans,Oleandomycin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Organooxygen compounds,687.868
1533,Escherichia coli,Oleandomycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,687.868
1534,Pseudomonas aeruginosa,Oleandomycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,687.868
1535,Bacillus subtilis,Ceftazidime,15,0,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis group,p,0.16,7.08,14,30,1,soil,Lactams,546.587
1536,Candida albicans,Ceftazidime,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Lactams,546.587
1537,Pseudomonas aeruginosa,Ceftazidime,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,546.587
1538,Staphylococcus aureus,Ceftazidime,15,0,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,p,24,36,48,37,2,skin,Lactams,546.587
1539,Candida albicans,Rifampicin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Macrolactams,822.953
1540,Pseudomonas aeruginosa,Rifampicin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Macrolactams,822.953
1541,Candida albicans,Neomycin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,aminoglycoside ,614.65
1542,Candida albicans,Cephazolin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Lactams,454.519
1543,Pseudomonas aeruginosa,Cephazolin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Lactams,454.519
1544,Candida albicans,Penicillin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Carboxylic acids and derivatives,372.487
1545,Escherichia coli,Penicillin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,372.487
1546,Pseudomonas aeruginosa,Penicillin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,372.487
1547,Candida albicans,Novobiocin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Coumarins and derivatives,612.632
1548,Escherichia coli,Novobiocin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Coumarins and derivatives,612.632
1549,Pseudomonas aeruginosa,Novobiocin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Coumarins and derivatives,612.632
1550,Candida albicans,Carbenicillin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Carboxylic acids and derivatives,378.406
1551,Escherichia coli,Carbenicillin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,378.406
1552,Pseudomonas aeruginosa,Carbenicillin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,378.406
1553,Candida albicans,Lincomycin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Carboxylic acids and derivatives,406.545
1554,Escherichia coli,Lincomycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Carboxylic acids and derivatives,406.545
1555,Pseudomonas aeruginosa,Lincomycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Carboxylic acids and derivatives,406.545
1556,Candida albicans,Tetracycline,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Tetracyclines,444.44
1557,Pseudomonas aeruginosa,Tetracycline,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Tetracyclines,444.44
1558,Candida albicans,Erythromycin,15,0,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida,Candida albicans,f,48,84,120,37,2,mouth,Organooxygen compounds,733.937
1559,Escherichia coli,Erythromycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,n,48,84,120,37,2,urine,Organooxygen compounds,733.937
1560,Pseudomonas aeruginosa,Erythromycin,15,0,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa group,n,24,48,72,37,2,soil,Organooxygen compounds,733.937
